,C,degree,gamma,score
0,0.01,2,scale,-0.06938777844170696
1,0.01,2,auto,-0.06938769850894588
2,0.01,3,scale,-0.06938752410267024
3,0.01,3,auto,-0.06938737456794986
4,0.01,4,scale,-0.06938694075663676
5,0.01,4,auto,-0.06938665325587201
6,0.01,5,scale,-0.06938201162094804
7,0.01,5,auto,-0.0693807531416466
8,0.01,6,scale,-0.06935816200669698
9,0.01,6,auto,-0.06935131243796477
10,0.01,7,scale,-0.06932717548732326
11,0.01,7,auto,-0.06931462139764721
12,0.01,8,scale,-0.06919092430795559
13,0.01,8,auto,-0.0691258724042092
14,0.01,9,scale,-0.06752173473676248
15,0.01,9,auto,-0.06750271716336576
16,0.1,2,scale,-0.06937699644179696
17,0.1,2,auto,-0.06937616467579644
18,0.1,3,scale,-0.06937479016302373
19,0.1,3,auto,-0.0693732861810834
20,0.1,4,scale,-0.06936906171306911
21,0.1,4,auto,-0.0693662177752925
22,0.1,5,scale,-0.06932071432043752
23,0.1,5,auto,-0.06930831140535298
24,0.1,6,scale,-0.06922974003246396
25,0.1,6,auto,-0.06920079265941426
26,0.1,7,scale,-0.06885111628129481
27,0.1,7,auto,-0.06870271242657422
28,0.1,8,scale,-0.06722647216178412
29,0.1,8,auto,-0.06716824511461583
30,0.1,9,scale,-0.06710952718424634
31,0.1,9,auto,-0.06698519715141771
32,1.0,2,scale,-0.06926612965575663
33,1.0,2,auto,-0.06925761984252166
34,1.0,3,scale,-0.06924706391557867
35,1.0,3,auto,-0.06923200702790289
36,1.0,4,scale,-0.06919319775317834
37,1.0,4,auto,-0.06916534400080421
38,1.0,5,scale,-0.06893383261750974
39,1.0,5,auto,-0.06886158924077157
40,1.0,6,scale,-0.06674985516218057
41,1.0,6,auto,-0.06659109695753873
42,1.0,7,scale,-0.06650153694490468
43,1.0,7,auto,-0.06632965666031976
44,1.0,8,scale,-0.06583116082266782
45,1.0,8,auto,-0.06558803912411659
46,1.0,9,scale,-0.06356947499843102
47,1.0,9,auto,-0.06075087022816494
48,10.0,2,scale,-0.06812523655900415
49,10.0,2,auto,-0.06803784754593822
50,10.0,3,scale,-0.06797492303573271
51,10.0,3,auto,-0.0678261624790677
52,10.0,4,scale,-0.0676065714289964
53,10.0,4,auto,-0.06729694936020025
54,10.0,5,scale,-0.06526576578087773
55,10.0,5,auto,-0.06502537317596291
56,10.0,6,scale,-0.06409942656355305
57,10.0,6,auto,-0.06373080976114487
58,10.0,7,scale,-0.06148939298987388
59,10.0,7,auto,-0.0606128060069242
60,10.0,8,scale,-0.057665337865160815
61,10.0,8,auto,-0.05741436658954214
62,10.0,9,scale,-0.05785920189955029
63,10.0,9,auto,-0.05706069283574755
0,0.01,2,scale,-0.09711605889835684
1,0.01,2,auto,-0.09711596060587735
2,0.01,3,scale,-0.09711559809284354
3,0.01,3,auto,-0.09711540021873288
4,0.01,4,scale,-0.09711312689445695
5,0.01,4,auto,-0.09711239981654085
6,0.01,5,scale,-0.0970799424391593
7,0.01,5,auto,-0.09707313518015215
8,0.01,6,scale,-0.09704020313289652
9,0.01,6,auto,-0.09703908502531644
10,0.01,7,scale,-0.09666866025035215
11,0.01,7,auto,-0.09666392820831082
12,0.01,8,scale,-0.09627013865005796
13,0.01,8,auto,-0.09626083142667663
14,0.01,9,scale,-0.09622515439351642
15,0.01,9,auto,-0.09619753563733946
16,0.1,2,scale,-0.09710373659380744
17,0.1,2,auto,-0.09710285230656979
18,0.1,3,scale,-0.09709964014723349
19,0.1,3,auto,-0.09709772054789734
20,0.1,4,scale,-0.09706706338199078
21,0.1,4,auto,-0.09705989383885116
22,0.1,5,scale,-0.09695478856327511
23,0.1,5,auto,-0.09694942549340735
24,0.1,6,scale,-0.09659451140705677
25,0.1,6,auto,-0.09658389465261785
26,0.1,7,scale,-0.09617097802888153
27,0.1,7,auto,-0.09614081174601408
28,0.1,8,scale,-0.09601219739447653
29,0.1,8,auto,-0.0959359558046069
30,0.1,9,scale,-0.09574583603927578
31,0.1,9,auto,-0.09561059159913454
32,1.0,2,scale,-0.09699392757538061
33,1.0,2,auto,-0.09698564431957757
34,1.0,3,scale,-0.09694208186796072
35,1.0,3,auto,-0.0969239679889824
36,1.0,4,scale,-0.09672044898716847
37,1.0,4,auto,-0.09670279622278088
38,1.0,5,scale,-0.09635811501730163
39,1.0,5,auto,-0.0963196568488267
40,1.0,6,scale,-0.09582510600441996
41,1.0,6,auto,-0.09573713083585522
42,1.0,7,scale,-0.09529271820152063
43,1.0,7,auto,-0.09509160913555736
44,1.0,8,scale,-0.09468127552386196
45,1.0,8,auto,-0.09439676530743002
46,1.0,9,scale,-0.09365420215450748
47,1.0,9,auto,-0.09347098481707361
48,10.0,2,scale,-0.09590332725002404
