"station_id","bikes_available","docks_available"
82,1,14
70,2,16
62,3,12
64,3,12
32,4,7
48,4,9
60,4,9
67,4,23
4,5,6
45,5,7
54,5,5
8,6,9
10,6,9
13,6,9
26,6,6
27,6,9
35,6,5
37,6,5
42,6,9
46,6,9
49,6,13
58,6,13
65,6,11
71,6,3
73,6,6
75,6,10
3,7,8
6,7,8
16,7,8
21,7,8
23,7,8
31,7,8
33,7,8
41,7,8
47,7,12
66,7,12
68,7,12
80,7,8
83,7,8
5,8,11
7,8,7
24,8,7
25,8,7
30,8,7
34,8,15
36,8,7
38,8,7
63,8,11
84,8,7
9,9,6
14,9,10
22,9,18
51,9,10
56,9,10
57,9,6
76,9,9
77,9,5
12,10,9
50,10,11
55,10,13
59,10,13
2,11,16
39,11,8
61,11,13
74,11,9
11,12,7
28,12,11
29,12,11
69,15,8
72,15,8
